hours_studied,attendance,previous_gpa,tutoring_sessions,sleep_hours,stress_level,screen_time,exam_anxiety,gender,age,part_time_job,study_method,diet_quality,internet_quality,extracurricular,family_income,final_grade,final_gpa,risk_status
3.1,72.81,1.06,3,5.92,1,2.67,8,male,24,no,offline,average,good,no,low,D,2.45,At Risk
8.03,65.07,3.53,3,7.73,3,0.21,8,male,20,no,online,good,good,yes,middle,A,3.67,Not At Risk
10.72,96.41,3.48,7,5.38,0,10.91,3,female,20,no,offline,poor,average,no,low,A,3.68,Not At Risk
3.5,64.94,3.31,1,9.19,3,2.66,0,male,25,yes,hybrid,poor,poor,yes,middle,B,3.06,Not At Risk
4.27,59.55,1.23,7,5.06,3,9.88,9,female,22,no,offline,good,excellent,yes,low,D,2.1,At Risk
0.83,91.65,1.63,3,5.18,3,8.54,7,female,19,no,offline,good,good,no,low,F,1.04,At Risk
7.18,45.69,3.45,2,7.03,1,2.46,6,male,28,yes,offline,good,average,no,low,A,3.57,Not At Risk
5.63,42.42,1.58,2,5.66,10,8.65,8,male,21,yes,online,average,good,no,middle,F,0.94,At Risk
11.05,70.92,3.08,2,9.57,1,1.41,10,male,20,no,offline,average,poor,no,middle,A,3.97,Not At Risk
1.12,54.47,2.76,2,5.39,6,1.49,1,male,22,yes,offline,poor,excellent,yes,low,D,2.07,At Risk
5.91,83.97,2.1,3,6.75,9,2.7,10,female,25,yes,online,poor,average,no,middle,F,1.95,At Risk
0.83,53.31,2.22,0,7.19,2,9.47,1,male,25,yes,online,average,good,no,high,D,2.09,At Risk
2.91,94.71,1.83,6,7.42,1,5.34,0,female,23,yes,offline,poor,poor,no,middle,A,3.97,Not At Risk
1.53,75.81,3.92,7,7.84,0,1.01,0,female,22,no,hybrid,average,excellent,yes,low,A,3.99,Not At Risk
6.26,85.31,3.36,1,8.86,1,7.04,10,male,22,no,hybrid,average,excellent,no,low,B,3.11,Not At Risk
7.16,58.61,2.28,4,5.82,6,0.85,8,female,24,yes,online,good,good,no,low,C,2.71,Not At Risk
7.36,81.63,1.2,5,9.84,4,9.58,3,female,26,no,hybrid,good,excellent,no,high,B,3.23,Not At Risk
